"","Parameter","Mean","SD","Lower_95","Upper_95"
"1","Female_Mean_Wing",77.8733359699757,0.111943445120269,77.655951345114,78.0951295593266
"2","Male_Effect_Wing",2.31091739320493,0.103044265683825,2.10828289317541,2.5135906652795
"3","Female_Mean_Beak",13.4686940875022,0.0343346092984225,13.402106507099,13.5369726842616
"4","Male_Effect_Beak",-0.0700749803708493,0.0320678617998359,-0.133054547825607,-0.00668851905268471
"5","Loading_Wing",0.615883851069559,0.020281865057886,0.576300307191039,0.655889983468534
"6","Loading_Beak",0.6428097493037,0.0234106857458332,0.597435913170117,0.68893318462513
"7","VA_Wing",1.22262001903184,0.170451945265665,0.910877246175601,1.57592171323917
"8","VA_Beak",0.111841202119785,0.0156143401224158,0.0833547419725435,0.144349343555127
"9","VR_Wing",3.7349859477892,0.117059186498777,3.51164857027338,3.96580701091486
"10","VR_Beak",0.416354041531714,0.0129484409198855,0.391458485663752,0.441951403727004
"11","h2_Wing",0.183195106445906,0.0231318706191101,0.139796440071687,0.229930525198266
"12","h2_Beak",0.1631777697967,0.0207121704421534,0.124695303008387,0.205484076106606
"13","h2_Latent_Size",0.416638945070647,0.0454311465678914,0.328381973025272,0.505758035324722
