"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta[1]",13.4477481928263,0.000558880127802993,0.0382265448858974,13.373960146013,13.4220058843216,13.4475498406037,13.4738050673413,13.5236130533066,4678.35051005626,0.999991685089569
"beta[2]",-0.0596823857371016,0.000468171711170191,0.0335573239745533,-0.12464162060075,-0.0827083478914711,-0.0598128557401947,-0.0374498943845603,0.00632925511492195,5137.64751642658,1.00121315914762
"var_A",0.148618309170385,0.000522799162599102,0.0201410829167483,0.111105457590602,0.134756017290215,0.147446617033281,0.161680716147831,0.190156056290679,1484.21175943133,1.00358729699042
"var_E",0.184411726553884,0.000417890995349402,0.0179491864622536,0.150113754382935,0.172193766089074,0.184114725381008,0.196440624721444,0.220133669049146,1844.86041396195,1.00293773391866
"var_R",0.344059647079901,0.000114349692773405,0.00902802300155747,0.326847241565963,0.337900045871694,0.343976475052639,0.350106998616937,0.362012203943302,6233.26096357231,1.00040292974398
"var_P",0.67708968280417,0.000273504587296552,0.0195008503363099,0.64024448007561,0.663783787161822,0.676450306579984,0.68956201198589,0.71703568385414,5083.67605936796,1.00050356915162
"heritability",0.219188480519019,0.000709645954168914,0.0265547139483035,0.168338544353173,0.201085862780993,0.21830608668659,0.236957350212503,0.273370305917803,1400.23133658982,1.00388490084367
"lp__",-1500.90428332078,1.12084727692672,55.9951635139905,-1612.18230786867,-1539.2826869921,-1500.40487520589,-1462.56522920754,-1391.57352080356,2495.79064368136,1.00191656528843
