"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta[1]",77.9820105088955,0.00180278530748438,0.122639732315102,77.7458390100668,77.8977737427569,77.9814353049652,78.0653104797508,78.2248497238122,4627.7977214463,1.00039186257909
"beta[2]",2.30548833963832,0.001289177417263,0.102334458452253,2.10586753471716,2.23659250306257,2.30627317697414,2.37618956850947,2.5001153034361,6301.12960773819,1.00007898689239
"var_A",1.68962084864217,0.0052066019431845,0.206095284921388,1.30324459105956,1.54791495085518,1.68339731948221,1.82242938161038,2.10870269203195,1566.8497759387,1.00205406234218
"var_E",1.44140947373749,0.00417181656070477,0.165000586729208,1.12901447363689,1.32795063037053,1.43776933943914,1.54935705018692,1.78477879969213,1564.3018881847,1.00370062719089
"var_R",3.29445276540777,0.00115585132093237,0.0865809949855242,3.12793486704673,3.23598083398116,3.29317564185893,3.352482825138,3.46653646002992,5611.01199968018,1.00106174526859
"var_P",6.42548308778743,0.00263640031341333,0.187416036383603,6.07479165547686,6.29619345229799,6.42105102207453,6.54620675024484,6.80926638907266,5053.48276080511,1.00012773907085
"heritability",0.262582136368462,0.000732285015909749,0.0277029737043373,0.209461743426863,0.243685884068266,0.262327705687081,0.280975601948803,0.317666137247199,1431.17415301438,1.00258749174614
"lp__",-6644.36766951095,1.16960265618516,55.000027081813,-6753.08959211204,-6680.75924954392,-6644.44891731351,-6607.40240330992,-6537.56149566072,2211.30737764472,1.00212669109679
