id dam sire LLRdam LLRsire LLRpair OHdam OHsire MEpair ringnr damringnr sireringnr 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020
8L19527_K14_B1 8L48542 8L64824 30.91 12.84 30.11 0 0 0 8L19527 8L48542 8L64824 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19528_M14_B1 8L48542 M0041 28.82 11.31 29.02 0 NA NA 8L19528 8L48542 M0041 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19529_O14_B1 8904654 M0014 10.12 19.18 32.7 1 NA NA 8L19529 8904654 M0014 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19530_A16_B1 8904654 M0273 13.78 4.6 7.57 0 NA NA 8L19530 8904654 M0273 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19531_C16_B1 8904654 M0208 13.01 16.7 29.3 0 NA NA 8L19531 8904654 M0208 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19532_E16_B1 8943470 8981940 15.53 13.29 32.75 0 0 0 8L19532 8943470 8981940 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19533_G16_B1 8943470 M0014 16.22 18.1 31.55 0 NA NA 8L19533 8943470 M0014 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19534_I16_B1 8943470 8981940 13.88 12.82 32.81 0 0 0 8L19534 8943470 8981940 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19535_K16_B1 8943470 8981940 13.3 10.67 31.34 0 1 1 8L19535 8943470 8981940 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19536_M16_B1 8L48428 8L52237 27.29 24.9 39.55 0 0 0 8L19536 8L48428 8L52237 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19537_O16_B1 8L48428 8L52237 29.59 25.72 39.07 0 0 0 8L19537 8L48428 8L52237 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19538_A18_B1 8L48428 8L52237 27.59 24.7 37.27 0 0 0 8L19538 8L48428 8L52237 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19539 8981955 8934588 14.8 14.48 31.45 0 1 1 8L19539 8981955 8934588 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19540 8981955 8934588 14.86 14.22 32.94 0 0 0 8L19540 8981955 8934588 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19541_C18_B1 8981955 8934588 16.26 16.41 31.96 0 0 0 8L19541 8981955 8934588 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19542_E18_B1 8981956_E22_B2 8939743 9 12.12 31.71 0 0 0 8L19542 8981956 8939743 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19543_G18_B1 8981956_E22_B2 8939462 10.32 11.21 32.36 0 0 0 8L19543 8981956 8939462 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19544_I18_B1 8981956_E22_B2 M0242 6.67 5.89 7.28 1 NA NA 8L19544 8981956 M0242 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19545_K18_B1 8981956_E22_B2 M0242 10.69 6.73 9.6 0 NA NA 8L19545 8981956 M0242 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19546_M18_B1 8981956_E22_B2 8939462 9.67 11.16 32.88 0 0 0 8L19546 8981956 8939462 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19547_O18_B1 F0046 M0154 5.91 5.82 16.04 NA NA NA 8L19547 F0046 M0154 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
