,Year_ID_Location,Year_ID,ID,Year_Location,Year,Location,Island,in_out,Least_age,Least_hatchyear,filled,obs,capt,gene_new,Sex,Own_survival,N_Recruits,r2s,parent_in_pedigree,present_in_pedigree,ever_a_parent,ringed_ad_recorded,estimated_pop_size,observed_breeding_popsize,ringnr,flok,flokyear,Island_ID,Year2,IslandYear_ID,ob,ringnr_year,Experienced_breeder,sex,IslandFitness,IslandYearFitness,IslandYearSigma_w,RelPop,logPop,VarIslandYearFitness,w,IDYear
5061,2011_8L48315_hestmannøy,2011_8L48315,1948,2011_hestmannøy,14,HestmannÃ¸y,27,0,5,2006,no,obs,NA,NA,f,0,0,0,no,yes,yes,226,283,245,8L48315,27,272 011,6,14,116,5041,8L48315 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,2553
5400,2011_8L52428_hestmannøy,2011_8L52428,2086,2011_hestmannøy,14,HestmannÃ¸y,27,0,5,2006,gene_new,NA,NA,gene_new,f,0,1,1,yes,yes,yes,226,283,245,8L52428,27,272 011,6,14,116,5375,8L52428 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0.5,2886
5435,2011_8L52550_hestmannøy,2011_8L52550,2095,2011_hestmannøy,14,HestmannÃ¸y,27,0,6,2005,yes,NA,NA,NA,f,1,0,2,no,yes,yes,226,283,245,8L52550,27,272 011,6,14,116,5408,8L52550 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,1,2921
5533,2011_8L52954_hestmannøy,2011_8L52954,2133,2011_hestmannøy,14,HestmannÃ¸y,27,0,5,2006,no,obs,NA,NA,m,0,0,0,no,yes,yes,226,283,245,8L52954,27,272 011,6,14,116,5506,8L52954 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3019
5667,2011_8L64134_hestmannøy,2011_8L64134,2181,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,f,0,0,0,yes,yes,yes,226,283,245,8L64134,27,272 011,6,14,116,5640,8L64134 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3146
5718,2011_8L64212_hestmannøy,2011_8L64212,2199,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,capt,NA,f,0,0,0,yes,yes,yes,226,283,245,8L64212,27,272 011,6,14,116,5691,8L64212 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3198
5744,2011_8L64271_hestmannøy,2011_8L64271,2210,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,m,0,1,1,yes,yes,yes,226,283,245,8L64271,27,272 011,6,14,116,5717,8L64271 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0.5,3232
5747,2011_8L64272_hestmannøy,2011_8L64272,2211,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,m,1,1,3,yes,yes,yes,226,283,245,8L64272,27,272 011,6,14,116,5720,8L64272 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,1.5,3235
5752,2011_8L64280_hestmannøy,2011_8L64280,2212,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,m,0,0,0,no,yes,yes,226,283,245,8L64280,27,272 011,6,14,116,5725,8L64280 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3240
5886,2011_8L89064_hestmannøy,2011_8L89064,2265,2011_hestmannøy,14,HestmannÃ¸y,27,0,2,2009,no,obs,NA,NA,f,0,0,0,no,no,never,226,283,245,8L89064,27,272 011,6,14,116,5859,8L89064 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3357
5904,2011_8L89209_hestmannøy,2011_8L89209,2269,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,f,0,0,0,no,yes,never,226,283,245,8L89209,27,272 011,6,14,116,5876,8L89209 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3368
5926,2011_8L89268_hestmannøy,2011_8L89268,2280,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,m,1,0,2,yes,yes,yes,226,283,245,8L89268,27,272 011,6,14,116,5898,8L89268 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,1,3391
5934,2011_8L89276_hestmannøy,2011_8L89276,2284,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,capt,NA,m,1,1,3,yes,yes,yes,226,283,245,8L89276,27,272 011,6,14,116,5906,8L89276 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,1.5,3399
5938,2011_8L89277_hestmannøy,2011_8L89277,2285,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,m,1,1,3,yes,yes,yes,226,283,245,8L89277,27,272 011,6,14,116,5910,8L89277 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,1.5,3403
5984,2011_8L89337_hestmannøy,2011_8L89337,2303,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,m,0,1,1,yes,yes,yes,226,283,245,8L89337,27,272 011,6,14,116,5956,8L89337 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0.5,3454
5995,2011_8L89354_hestmannøy,2011_8L89354,2307,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,m,0,1,1,yes,yes,yes,226,283,245,8L89354,27,272 011,6,14,116,5967,8L89354 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0.5,3465
6003,2011_8L89366_hestmannøy,2011_8L89366,2311,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,m,1,0,2,yes,yes,yes,226,283,245,8L89366,27,272 011,6,14,116,5975,8L89366 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,1,3477
6008,2011_8L89370_hestmannøy,2011_8L89370,2313,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,f,1,0,2,no,yes,never,226,283,245,8L89370,27,272 011,6,14,116,5980,8L89370 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,1,3482
6012,2011_8L89371_hestmannøy,2011_8L89371,2314,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,m,1,0,2,no,yes,yes,226,283,245,8L89371,27,272 011,6,14,116,5984,8L89371 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,1,3486
6016,2011_8L89372_hestmannøy,2011_8L89372,2315,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,capt,NA,f,0,1,1,yes,yes,yes,226,283,245,8L89372,27,272 011,6,14,116,5988,8L89372 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0.5,3490
6019,2011_8L89376_hestmannøy,2011_8L89376,2316,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,yes,NA,NA,NA,f,1,0,2,no,yes,yes,226,283,245,8L89376,27,272 011,6,14,116,5991,8L89376 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,1,3493
